# year,team,score,seed,numwins
1967,Boston Celtics,116.8,2,9.2
1967,Chicago Bulls,104,4,4
1967,Cincinnati Royals,88.6,3,5.4
1967,Los Angeles Lakers,76,3,4
1967,New York Knicks,126.4,4,5.4
1967,Philadelphia 76ers,176.2,1,16.2
1967,San Francisco Warriors,134.2,1,14.2
1967,St. Louis Hawks,120.8,2,10.2
1968,Boston Celtics,224,2,16
1968,Chicago Bulls,120,4,5
1968,Detroit Pistons,136,4,6
1968,Los Angeles Lakers,176,2,14
1968,New York Knicks,94,3,6
1968,Philadelphia 76ers,91,1,11
1968,San Francisco Warriors,152,3,8
1968,St. Louis Hawks,46,1,6
1969,Atlanta Hawks,116,2,9
1969,Baltimore Bullets,44,1,4
1969,Boston Celtics,416,4,16
1969,Los Angeles Lakers,135,1,15
1969,New York Knicks,170,3,10
1969,Philadelphia 76ers,60,2,5
1969,San Diego Rockets,136,4,6
1969,San Francisco Warriors,94,3,6
1970,Atlanta Hawks,88,1,8
1970,Baltimore Bullets,103,3,7
1970,Chicago Bulls,120,4,5
1970,Los Angeles Lakers,180,2,15
1970,Milwaukee Bucks,116,2,9
1970,New York Knicks,176,1,16
1970,Philadelphia 76ers,120,4,5
1970,Phoenix Suns,103,3,7
1971,Atlanta Hawks,60,2,5
1971,Baltimore Bullets,144,1,12
1971,Chicago Bulls,68,2,7
1971,Los Angeles Lakers,92,1,9
1971,Milwaukee Bucks,176,1,16
1971,New York Knicks,91,1,11
1971,Philadelphia 76ers,68,2,7
1971,San Francisco Warriors,60,2,5
1972,Atlanta Hawks,64,2,6
1972,Baltimore Bullets,46,1,6
1972,Boston Celtics,89,1,9
1972,Chicago Bulls,56,2,4
1972,Golden State Warriors,60,2,5
1972,Los Angeles Lakers,176,1,16
1972,Milwaukee Bucks,96,1,10
1972,New York Knicks,172,2,13
1973,Atlanta Hawks,136,4,6
1973,Baltimore Bullets,85,3,5
1973,Boston Celtics,91,1,11
1973,Chicago Bulls,103,3,7
1973,Golden State Warriors,224,4,9
1973,Los Angeles Lakers,172,2,13
1973,Milwaukee Bucks,46,1,6
1973,New York Knicks,224,2,16
1974,Boston Celtics,176,1,16
1974,Buffalo Braves,136,4,6
1974,Capital Bullets,103,3,7
1974,Chicago Bulls,112,2,8
1974,Detroit Pistons,103,3,7
1974,Los Angeles Lakers,120,4,5
1974,Milwaukee Bucks,135,1,15
1974,New York Knicks,116,2,9
